#MJD	log(Lx_bol)	log(Lx/L_Edd)	log(L_opt)	log(Lopt/L_Edd)
				
52350.22855	36.01069546875216	-2.8605270880075464	35.15277069060024	-3.718451866159465
				
				
				
				
				
				
				
				
52359.494099999996	36.80233738081726	-2.0688851759424507	35.46077069060024	-3.410451866159465
				
				
				
				
53048.54657	37.02891860403881	-1.8423039527208998	35.456770690600244	-3.414451866159463
53050.51697	37.14517782179869	-1.7260447349610173	35.46477069060024	-3.4064518661594674
53051.51183	37.2561324037372	-1.6150901530225097	35.51677069060025	-3.3544518661594607
				
53054.436570000005	37.385865659208605	-1.4853568975511022	35.51277069060024	-3.3584518661594656
53055.619605	37.425112848656475	-1.4461097081032317	35.52877069060024	-3.3424518661594673
53056.387595	37.46495263174809	-1.4062699250116166	35.52877069060024	-3.3424518661594673
53057.298675	37.51870326508399	-1.3525192916757147	35.584770690600244	-3.286451866159463
53058.61749	37.54633805008876	-1.3248845066709505	35.57677069060024	-3.2944518661594655
53059.48025	37.55919092789154	-1.3120316288681648	35.58077069060025	-3.2904518661594606
				
53062.398709999994	37.62625967038913	-1.244962886370575	35.672770690600245	-3.198451866159462
53063.347105	37.662815836545356	-1.2084067202143514	35.60077069060024	-3.2704518661594646
53064.527044999995	37.70495515996525	-1.1662673967944555	35.65677069060024	-3.214451866159467
53066.576915	37.81452140251667	-1.0567011542430391	35.70877069060025	-3.1624518661594605
53067.342359999995	37.746313934853276	-1.1249086219064306	35.620770690600246	-3.2504518661594615
53068.32187	37.82232023436218	-1.0489023223975265	35.68877069060024	-3.1824518661594636
53069.190325	37.74306479521527	-1.128157761544439	35.736770690600245	-3.134451866159462
53070.21073	37.89095819204515	-0.9802643647145598	35.66477069060024	-3.2064518661594645
53071.09379	37.91853094888532	-0.9526916078743878	35.760770690600246	-3.110451866159461
53072.33361	37.90342377530269	-0.9677987814570157	35.73277069060024	-3.1384518661594667
53073.0841	37.92912835290562	-0.9420942038540855	35.72877069060024	-3.1424518661594645
53074.166150000005	37.90731396269706	-0.963908594062647	35.73277069060024	-3.1384518661594667
53075.19914	38.00282011855748	-0.8684024382022271	35.748770690600246	-3.1224518661594614
53076.153170000005	38.08055392566112	-0.7906686310985859	35.79277069060024	-3.0784518661594644
53077.500665	37.989478216148754	-0.881744340610953	35.78077069060024	-3.090451866159465
