#MJD RXTE/ASMcpuntrate(1.5-12keV) +-
54712.397391 3.343000 0.356000 
54713.406970 3.829000 0.372000 
54714.500308 3.180000 0.313000 
54715.515994 3.285000 0.292000 
54716.570124 3.493000 0.255000 
54717.554058 3.050000 0.195000 
54718.530125 3.239000 0.256000 
54719.524132 2.963000 0.247000 
54720.590178 3.017000 0.257000 
54721.503342 2.979000 0.260000 
54722.704201 3.030000 0.202000 
54723.547363 3.216000 0.313000 
54724.499703 2.887000 0.348000 
54725.669209 3.042000 0.301000 
54726.575043 3.627000 0.268000 
54727.573271 3.051000 0.291000 
54728.677094 2.913000 0.213000 
54729.543844 3.052000 0.197000 
54730.521377 3.355000 0.255000 
54731.468743 3.262000 0.230000 
54732.522254 4.019000 0.279000 
54733.579889 4.167000 0.356000 
54734.552567 3.881000 0.253000 
54735.508377 3.398000 0.392000 
54736.458652 3.725000 0.298000 
54737.480668 3.337000 0.356000 
54738.425845 3.635000 0.521000 
54739.508522 2.931000 0.300000 
54740.265947 3.082000 0.328000 
54742.004769 4.070000 1.060000 
54743.145068 2.410000 0.603000 
54744.488318 3.163000 0.518000 
54745.085515 4.660000 1.520000 
54746.406805 4.550000 1.030000 
54747.186882 3.482000 0.734000 
54748.069684 3.365000 0.379000 
54749.515830 3.576000 0.320000 
54750.344394 3.464000 0.369000 
54751.407052 2.865000 0.284000 
54752.445174 2.545000 0.238000 
54753.462287 2.842000 0.260000 
54754.425303 2.737000 0.275000 
54755.576168 3.010000 0.304000 
54756.311062 2.569000 0.272000 
54757.517729 2.669000 0.300000 
54758.447283 2.160000 0.300000 
54759.547171 2.726000 0.234000 
54760.428066 2.343000 0.334000 
54761.517624 2.098000 0.322000 
54762.543396 2.502000 0.293000 
54763.662079 3.024000 0.291000 
54764.552061 2.154000 0.267000 
54765.594104 2.768000 0.256000 
54766.598509 2.586000 0.280000 
54767.526240 2.440000 0.253000 
54768.485610 2.221000 0.219000 
54769.600448 2.065000 0.344000 
54770.409730 2.305000 0.355000 
54771.749489 3.670000 0.476000 
54772.553022 1.850000 0.316000 
54773.303842 2.281000 0.413000 
54774.402423 2.403000 0.589000 
54775.662618 2.820000 0.344000 
54777.545459 2.808000 0.310000 
54778.393799 2.961000 0.346000 
54779.424645 2.193000 0.407000 
54780.549150 1.963000 0.359000 
54781.567617 1.940000 0.484000 
54782.525863 2.302000 0.319000 
54785.211742 2.953000 0.782000 
54786.393434 2.206000 0.461000 
54787.359670 6.848000 1.826000 
54788.073718 3.158000 0.604000 
54789.509306 7.252000 1.657000 
54813.412110 2.874000 0.693000 
54816.466429 5.310000 1.250000 
54818.736711 4.170000 0.809000 
54820.528840 4.171000 1.060000 
54821.559886 5.495000 1.062000 
54823.741245 4.383000 1.331000 
54826.536985 1.949000 0.617000 
54827.651429 5.271000 1.130000 
54830.335145 4.683000 1.285000 
54832.497541 6.557000 1.159000 
54833.534919 4.360000 0.778000 
54836.521152 2.906000 0.905000 
54841.270765 5.299000 1.106000 
54845.079952 3.204000 1.056000 
54847.419578 3.659000 0.562000 
54848.443911 3.096000 0.747000 
54849.667059 4.815000 0.816000 
54851.714593 2.290000 0.316000 
54853.322515 2.132000 0.553000 
54855.159783 2.098000 0.464000 
54856.185434 2.632000 0.534000 
54857.526802 3.373000 0.548000 
54858.678041 4.220000 0.482000 
54860.518249 3.024000 0.481000 
54861.382914 2.260000 0.693000 
54862.528946 3.859000 0.500000 
54863.497676 2.748000 0.474000 
54864.560370 2.397000 0.458000 
54865.366550 2.548000 0.363000 
54866.637726 1.912000 0.410000 
54867.365445 3.524000 0.895000 
54868.364630 2.721000 0.338000 
54869.546060 2.673000 0.465000 
54870.542949 3.669000 0.575000 
54871.538348 3.702000 0.512000 
54872.669174 2.267000 0.237000 
54873.676862 2.641000 0.301000 
54874.500235 2.729000 0.282000 
54875.620760 3.530000 0.279000 
54876.420763 3.167000 0.326000 
54877.711379 2.620000 0.299000 
54878.460331 3.249000 0.266000 
54879.403534 3.224000 0.309000 
54880.410161 1.752000 0.427000 
54881.462171 2.897000 0.361000 
54882.444034 2.383000 0.272000 
54884.432027 1.734000 0.564000 
54885.085553 2.148000 0.679000 
54886.873592 3.527000 0.582000 
54887.148100 2.553000 0.645000 
54888.402587 2.959000 0.551000 
54889.353112 2.419000 0.326000 
54890.322958 3.462000 0.262000 
54891.531694 2.620000 0.470000 
54892.558869 3.490000 0.300000 
54893.512514 3.657000 0.428000 
54894.401244 2.320000 0.382000 
54895.697674 4.216000 0.861000 
54896.626745 3.114000 0.332000 
54897.639639 2.188000 0.530000 
54898.590320 3.395000 0.386000 
54900.748656 4.477000 0.579000 
54901.807647 3.908000 0.754000 
54903.557733 1.953000 0.535000 
54904.400322 2.472000 0.690000 
54905.185133 4.280000 1.040000 
54906.321624 2.422000 0.638000 
54907.557853 2.430000 0.501000 
54908.742608 2.041000 0.576000 
54910.539846 2.215000 0.395000 
54911.698814 2.396000 0.357000 
54912.643449 2.899000 0.329000 
54913.311210 2.640000 0.344000 
54914.550811 2.924000 0.225000 
54915.713236 3.062000 0.353000 
54916.356441 3.063000 0.236000 
54917.433235 3.444000 0.465000 
54918.418963 2.444000 0.346000 
54919.533625 2.471000 0.301000 
54920.474427 3.117000 0.243000 
54921.520656 2.188000 0.301000 
54922.525851 2.554000 0.219000 
54923.706382 3.020000 0.385000 
54924.646206 2.271000 0.289000 
54925.731911 2.765000 0.379000 
54926.441577 1.716000 0.277000 
54927.407217 2.495000 0.328000 
54928.544915 2.463000 0.373000 
54929.538473 2.180000 0.332000 
54930.573999 1.057000 0.299000 
54931.399306 1.739000 0.275000 
54932.603688 1.683000 0.203000 
54933.545072 1.818000 0.273000 
54934.537051 1.929000 0.276000 
54935.571636 1.651000 0.388000 
54936.304395 3.091000 0.606000 
54937.454629 2.803000 0.349000 
54938.461497 1.614000 0.285000 
54939.726749 1.569000 0.457000 
54940.506951 2.817000 0.321000 
54941.525346 2.524000 0.343000 
54943.568522 1.583000 0.396000 
54944.579070 2.459000 0.354000 
54945.386350 1.091000 0.361000 
54946.623605 3.229000 0.706000 
54947.666802 1.404000 0.390000 
54948.669366 1.327000 0.428000 
54949.650468 2.077000 0.467000 
54952.675021 1.635000 0.381000 
54953.612000 1.834000 0.333000 
54954.636749 2.082000 0.429000 
54955.551679 2.682000 0.431000 
54957.552918 1.964000 0.372000 
54958.593042 1.774000 0.316000 
54959.729363 2.489000 0.762000 
54960.509394 1.989000 0.492000 
54961.318915 2.371000 0.695000 
54962.348367 2.209000 0.550000 
54963.478913 1.574000 0.302000 
54965.371646 2.143000 0.533000 
54966.644986 1.046000 0.306000 
54967.526535 1.718000 0.290000 
54968.577080 1.310000 0.397000 
54969.428840 2.440000 0.342000 
54970.441432 2.162000 0.380000 
54971.534915 2.133000 0.267000 
54972.454791 2.355000 0.494000 
54973.507688 2.112000 0.301000 
54975.525395 1.665000 0.340000 
54976.642629 2.504000 0.403000 
54977.570587 1.755000 0.349000 
54978.568013 1.998000 0.329000 
54980.591632 2.311000 0.491000 
54981.654033 1.987000 0.389000 
54982.426342 2.467000 0.583000 
54983.489280 2.353000 0.291000 
54984.752794 2.125000 0.461000 
54985.526550 1.611000 0.380000 
54986.262074 3.024000 0.546000 
54987.617150 2.498000 0.499000 
54990.399758 2.318000 0.348000 
54992.672912 2.212000 0.376000 
54994.822699 1.534000 0.325000 
54995.678557 1.600000 0.321000 
54996.551638 3.034000 0.567000 
54997.744265 1.745000 0.520000 
54998.409795 1.633000 0.515000 
55000.562417 2.218000 0.549000 
55001.535492 2.573000 0.341000 
55002.350362 2.786000 0.595000 
55003.548063 2.293000 0.641000 
55004.577879 1.858000 0.426000 
55005.529773 2.688000 0.345000 
55006.459108 1.638000 0.287000 
55007.761867 2.425000 0.437000 
55008.479609 1.774000 0.373000 
55009.600598 3.246000 0.578000 
55010.561095 2.552000 0.674000 
55011.527797 3.300000 0.829000 
55012.579928 2.322000 0.472000 
55014.489344 3.088000 0.506000 
55017.528792 2.236000 0.458000 
55018.330832 3.029000 0.485000 
55019.634696 2.201000 0.424000 
55020.473861 3.114000 0.371000 
55021.588467 2.599000 0.536000 
55022.377102 2.501000 0.397000 
55023.458794 2.118000 0.450000 
55024.445261 2.316000 0.532000 
55025.683107 2.806000 0.359000 
55026.528241 2.287000 0.324000 
55027.711163 1.979000 0.324000 
55028.583879 3.044000 0.338000 
55029.522358 3.303000 0.342000 
55030.522533 2.280000 0.274000 
55031.566779 3.259000 0.329000 
55032.566679 2.254000 0.305000 
55033.841316 1.856000 0.524000 
55034.453093 3.102000 0.402000 
55035.552325 3.312000 0.494000 
55036.656044 3.082000 0.426000 
55037.635936 2.854000 0.825000 
55038.603452 2.561000 0.389000 
55039.624225 2.592000 0.602000 
55040.685521 2.855000 0.412000 
55042.368620 3.899000 0.466000 
55043.363706 1.994000 0.643000 
55044.491600 2.541000 0.428000 
55045.302592 2.622000 0.689000 
55046.244876 3.463000 0.619000 
55047.307911 2.433000 0.697000 
55048.641505 2.700000 0.541000 
55049.415059 3.352000 0.524000 
55051.343632 1.904000 0.386000 
55053.386515 2.705000 0.347000 
55054.351105 2.031000 0.413000 
55055.437942 2.616000 0.464000 
55056.519117 3.703000 0.532000 
55057.386099 2.378000 0.563000 
55058.612434 2.348000 0.414000 
55059.436992 3.019000 0.377000 
55060.653009 3.550000 0.530000 
55061.537137 2.438000 0.470000 
55062.542821 2.621000 0.346000 
55064.372063 2.639000 0.628000 
55065.621711 3.037000 0.581000 
55067.405014 2.690000 0.280000 
55068.745737 3.619000 0.404000 
55069.387170 3.325000 0.311000 
55070.390815 3.071000 0.323000 
55071.441025 2.181000 0.425000 
55072.738893 2.947000 0.396000 
55073.571479 3.525000 0.412000 
55074.449076 3.368000 0.335000 
55075.508601 3.602000 0.391000 
55076.598929 2.669000 0.244000 
55077.484015 2.416000 0.250000 
55078.630642 2.587000 0.251000 
55079.689665 2.673000 0.297000 
55080.592015 2.308000 0.337000 
55081.583068 2.933000 0.221000 
55082.651236 2.936000 0.195000 
55083.633912 2.710000 0.239000 
55084.665557 3.331000 0.203000 
55085.722270 3.670000 0.247000 
55086.515181 2.870000 0.304000 
55087.513972 3.028000 0.361000 
55088.481813 2.418000 0.304000 
55089.439221 2.828000 0.286000 
55090.326662 3.137000 0.247000 
55091.463653 3.449000 0.330000 
55092.298383 2.286000 0.327000 
55093.549727 3.547000 0.369000 
55094.233407 4.322000 0.526000 
55095.580974 3.209000 0.515000 
55102.355136 3.982000 0.389000 
55103.386039 4.849000 0.408000 
55104.560893 5.246000 0.261000 
55105.514283 3.747000 0.233000 
55106.546037 3.826000 0.269000 
55107.583739 2.901000 0.384000 
55108.419230 3.760000 0.269000 
55109.346890 2.032000 0.272000 
55110.513459 3.134000 0.302000 
55111.301277 3.894000 0.304000 
55112.464291 2.720000 0.271000 
55113.461789 2.730000 0.316000 
55114.475024 2.001000 0.307000 
55115.077687 3.104000 0.559000 
55116.530601 2.679000 0.243000 
55117.410631 3.713000 0.438000 
55118.462048 2.400000 0.254000 
55119.516724 3.171000 0.404000 
55120.585610 3.297000 0.284000 
55121.546621 2.885000 0.357000 
55122.515487 3.291000 0.310000 
55123.640468 3.094000 0.273000 
55124.358991 2.905000 0.395000 
55125.547429 2.816000 0.372000 
55126.499338 3.653000 0.394000 
55127.568298 2.605000 0.404000 
55128.319836 4.275000 0.467000 
55129.600134 2.364000 0.311000 
55130.567893 3.907000 0.400000 
55131.628467 3.787000 0.322000 
55132.556802 1.693000 0.420000 
55133.557200 3.829000 0.323000 
55134.437063 4.537000 0.307000 
55135.377100 3.999000 0.387000 
55136.384656 4.178000 0.382000 
55137.378678 4.415000 0.477000 
55138.541248 1.974000 0.380000 
55139.545321 3.812000 0.492000 
55141.477546 4.037000 1.036000 
55142.299273 4.284000 0.817000 
55149.236804 4.965000 0.704000 
55150.919583 6.237000 1.089000 
55151.265874 3.946000 0.870000 
55152.573841 3.527000 0.679000 
55155.222078 3.950000 1.145000 
55157.395459 5.929000 1.100000 
55158.224165 4.004000 0.691000 
55159.415814 5.668000 0.856000 
55161.107234 8.572000 1.221000 
55163.679643 7.705000 0.785000 
55165.518189 4.188000 0.851000 
55166.636049 4.933000 0.646000 
55167.351434 5.368000 0.977000 
55168.326986 5.787000 0.759000 
55169.338652 7.720000 1.113000 
55170.323885 6.481000 1.044000 
55173.762503 5.075000 0.907000 
55174.709951 5.011000 0.759000 
55175.781800 5.713000 0.808000 
55176.223237 3.703000 0.968000 
55179.535689 4.344000 1.379000 
55194.355850 3.349000 0.725000 
55196.036244 5.960000 1.828000 
55198.538376 3.202000 0.623000 
55199.621892 4.542000 1.222000 
55200.951435 5.327000 1.484000 
55201.500739 3.487000 0.628000 
55202.916632 6.610000 1.540000 
55203.191431 3.013000 0.551000 
55204.611558 4.059000 0.826000 
55206.702916 4.899000 1.206000 
55207.914673 3.851000 1.247000 
55208.471875 2.413000 0.675000 
55209.316185 2.495000 0.395000 
55210.554934 3.805000 0.652000 
55211.538320 3.387000 0.840000 
55212.674362 2.984000 0.409000 
55213.546951 3.220000 0.490000 
55214.417833 3.204000 0.564000 
55215.221433 4.702000 0.929000 
55217.431800 4.288000 0.710000 
55218.340259 5.807000 0.566000 
55219.379579 2.721000 0.461000 
55220.518468 3.521000 0.461000 
55221.499008 3.860000 0.331000 
55222.532874 3.589000 0.677000 
55223.568029 2.003000 0.436000 
55224.399896 3.185000 0.361000 
55225.468546 3.434000 0.521000 
55226.595157 4.502000 0.275000 
55227.528005 2.761000 0.390000 
55228.449217 4.106000 0.294000 
55229.521280 4.311000 0.379000 
55230.491300 4.367000 0.390000 
55231.566229 3.884000 0.368000 
55232.540947 3.665000 0.339000 
55233.447264 3.397000 0.445000 
55234.531785 3.439000 0.366000 
55235.496245 3.685000 0.503000 
55236.478855 3.498000 0.476000 
55237.468169 2.715000 0.417000 
55238.344555 2.288000 0.506000 
55239.305092 4.016000 0.603000 
55240.505568 1.928000 0.470000 
55241.650480 3.898000 0.521000 
55242.648562 2.141000 0.456000 
55243.361614 5.231000 1.129000 
55244.682176 3.465000 0.573000 
55245.427484 3.444000 0.620000 
55246.262540 4.384000 1.185000 
55247.764331 2.538000 0.430000 
55248.461702 2.512000 0.408000 
55249.560407 3.822000 0.293000 
55250.589092 2.748000 0.503000 
55251.822361 5.199000 1.490000 
55252.737270 3.621000 0.309000 
55253.639582 3.457000 0.398000 
55254.782495 2.388000 0.613000 
55255.662291 2.660000 0.517000 
55256.574242 3.387000 0.512000 
55257.406326 2.071000 0.475000 
55258.766432 3.746000 0.426000 
55259.457247 2.619000 0.554000 
55260.641601 3.823000 0.321000 
55261.347079 3.784000 0.430000 
55262.496782 3.168000 0.347000 
55263.534553 3.474000 0.412000 
55264.663050 2.916000 0.349000 
55265.499331 3.310000 0.304000 
55266.504503 3.621000 0.263000 
55267.498744 3.265000 0.315000 
55268.252627 3.147000 0.312000 
55269.431544 3.054000 0.330000 
55270.472147 3.789000 0.297000 
55271.422154 3.310000 0.348000 
55272.346812 3.350000 0.286000 
55273.544201 2.998000 0.270000 
55274.426129 2.850000 0.261000 
55275.588234 3.114000 0.250000 
55276.532728 3.261000 0.301000 
55277.534753 2.985000 0.225000 
55278.451607 3.332000 0.244000 
55279.724319 2.883000 0.325000 
55280.492974 2.997000 0.355000 
55281.327436 2.779000 0.326000 
55282.244427 2.560000 0.461000 
55283.410625 3.486000 0.270000 
55284.423679 2.514000 0.323000 
55285.527429 3.240000 0.556000 
55286.768444 2.915000 0.595000 
55287.389808 3.380000 0.332000 
55288.689416 3.374000 0.400000 
55289.443211 3.751000 0.358000 
55290.272514 4.099000 0.535000 
55291.547398 3.290000 0.403000 
55292.858979 2.927000 0.538000 
55293.583227 3.528000 0.675000 
55294.461578 3.140000 0.533000 
55295.736804 3.883000 1.008000 
55296.555007 3.328000 0.496000 
55297.435880 3.986000 0.669000 
55300.779301 3.245000 0.633000 
55302.654479 4.988000 0.687000 
55303.691272 4.400000 0.816000 
55305.588123 3.196000 0.394000 
55306.636247 3.673000 0.604000 
55307.661371 3.355000 0.407000 
55308.618175 4.073000 0.381000 
55309.749506 3.850000 0.516000 
55310.545027 3.367000 0.631000 
55311.709059 3.422000 0.386000 
55312.626582 3.572000 0.464000 
55314.421766 3.601000 0.383000 
55315.464765 3.123000 0.354000 
55316.612224 4.026000 0.547000 
55317.421102 2.576000 0.453000 
55318.253075 3.381000 0.503000 
55320.563379 2.937000 0.315000 
55321.561895 3.418000 0.461000 
55322.332239 3.448000 0.372000 
55323.612958 3.601000 0.412000 
55324.398423 2.530000 0.440000 
55325.315925 3.961000 0.314000 
55326.455305 3.204000 0.354000 
55327.541944 2.874000 0.381000 
55328.377132 2.786000 0.391000 
55329.452730 2.433000 0.343000 
55330.666589 4.282000 0.588000 
55331.445498 2.762000 0.256000 
55332.486636 2.945000 0.339000 
55333.462797 3.151000 0.297000 
55334.464810 2.606000 0.254000 
55335.652505 1.871000 0.340000 
55336.513268 3.240000 0.703000 
55337.405783 2.807000 0.373000 
55338.647029 2.320000 0.338000 
55340.563995 2.367000 0.391000 
55341.650691 2.984000 0.583000 
55342.720007 2.443000 0.359000 
55343.573298 3.562000 0.263000 
55344.232702 3.621000 0.394000 
55345.594449 3.486000 0.283000 
55346.507133 3.354000 0.546000 
55347.583381 2.405000 0.629000 
55349.571096 2.944000 0.622000 
55351.497063 3.292000 0.522000 
55352.457356 2.767000 0.596000 
55353.550818 3.397000 0.500000 
55355.666537 2.891000 0.825000 
55356.596247 3.180000 0.701000 
55357.433200 3.808000 0.539000 
55359.626978 2.348000 0.538000 
55360.551825 2.052000 0.423000 
55362.725518 3.104000 0.585000 
55363.667973 2.908000 0.415000 
55364.338741 2.584000 0.417000 
55365.809139 2.591000 0.462000 
55366.631766 2.044000 0.388000 
55367.514033 2.280000 0.385000 
55368.325366 2.390000 0.607000 
55369.624925 2.932000 0.386000 
55372.204407 3.177000 0.520000 
55374.405209 2.219000 0.389000 
55375.664689 2.525000 0.348000 
55376.283023 3.308000 0.562000 
55378.534392 9.280000 2.790000 
55380.244988 2.429000 0.483000 
55381.567885 1.893000 0.515000 
55382.408577 2.759000 0.538000 
55383.666399 1.420000 0.424000 
55384.376445 2.621000 0.565000 
55385.583223 2.174000 0.444000 
55386.279894 2.279000 0.560000 
55387.599121 1.562000 0.481000 
55388.575324 2.724000 0.789000 
55389.677928 2.295000 0.464000 
55390.554457 1.866000 0.471000 
55391.895144 3.220000 0.940000 
55392.489862 2.050000 0.414000 
55395.456103 2.297000 0.606000 
55397.366138 2.073000 0.511000 
55402.611641 1.765000 0.465000 
55404.274333 3.284000 0.602000 
55409.456207 2.641000 0.804000 
55410.522651 2.623000 0.490000 
55411.570321 2.049000 0.347000 
55412.367865 1.694000 0.537000 
55413.533067 1.840000 0.526000 
55415.332053 1.245000 0.346000 
55416.340705 2.302000 0.320000 
55417.677670 1.814000 0.487000 
55418.631616 1.488000 0.370000 
55419.312588 2.094000 0.392000 
55421.213882 2.393000 0.571000 
55422.470851 2.760000 0.380000 
55423.601036 2.272000 0.432000 
55424.410195 2.297000 0.515000 
55425.391431 3.247000 0.470000 
55426.251686 2.849000 0.541000 
55427.430394 2.263000 0.334000 
55428.711472 2.221000 0.394000 
55429.357945 2.559000 0.462000 
55430.677889 1.532000 0.393000 
55431.504913 2.696000 0.410000 
55432.732726 1.727000 0.424000 
55433.423636 2.279000 0.445000 
55434.655964 2.167000 0.320000 
55435.737066 1.820000 0.448000 
55436.738674 1.617000 0.324000 
55437.540940 2.092000 0.369000 
55438.538180 1.845000 0.540000 
55439.440136 1.979000 0.411000 
55440.486059 2.110000 0.324000 
55441.560981 2.273000 0.591000 
55443.233779 2.982000 0.510000 
55444.509135 2.000000 0.513000 
55445.654165 1.931000 0.523000 
55447.281302 1.875000 0.415000 
55448.367684 2.833000 0.570000 
55449.347311 2.641000 0.593000 
55455.196431 2.998000 0.519000 
55459.300648 3.223000 0.773000 
55460.539948 3.730000 0.900000 
55461.582108 3.108000 0.621000 
55462.584149 3.090000 0.847000 
55463.414956 2.203000 0.681000 
55464.330020 2.476000 0.442000 
55465.519727 2.205000 0.545000 
55467.259333 3.047000 0.446000 
55468.471777 2.581000 0.353000 
55469.091626 4.280000 0.980000 
55471.472824 3.267000 0.614000 
55472.519457 3.105000 0.489000 
55473.674736 2.791000 0.448000 
55474.541458 2.898000 0.386000 
55475.426249 2.376000 0.469000 
55476.626958 2.170000 0.491000 
55478.542281 2.435000 0.453000 
55479.608449 2.449000 0.372000 
55480.593343 4.318000 0.734000 
55481.696615 2.672000 0.812000 
55482.676083 2.696000 0.363000 
55483.548979 3.469000 0.403000 
55484.759088 2.183000 0.459000 
55486.607441 1.937000 0.377000 
55489.530503 4.525000 0.854000 
55490.342576 2.830000 0.483000 
55506.927731 3.199000 0.823000 
55509.527731 3.117000 0.906000 
55510.540318 2.890000 0.920000 
55514.792633 4.534000 0.778000 
55516.946059 2.568000 0.813000 
55524.713837 4.190000 1.190000 
55526.273652 36.870000 3.780000 
55560.205137 4.669000 1.199000 
55567.046190 3.652000 0.863000 
55579.979213 3.710000 1.100000 
55589.359454 3.085000 0.721000 
55597.372982 3.981000 0.868000 
55617.180145 10.530000 3.100000 
55632.641250 4.700000 1.560000 
55634.226800 6.380000 1.840000 
55635.286615 6.150000 1.980000 
55640.379965 4.240000 1.170000 
55686.383351 3.013000 0.607000 
55687.257633 3.804000 0.782000 
55688.147763 3.087000 0.739000 
55689.842536 2.432000 0.535000 
55690.229105 2.953000 0.748000 
55691.826402 3.585000 0.839000 
55693.796752 2.921000 0.735000 
55695.550773 3.918000 0.586000 
55697.575890 2.942000 0.538000 
55699.712798 1.972000 0.446000 
55700.511433 5.455000 1.489000 
55707.625874 5.935000 1.803000 
55710.694589 18.360000 4.240000 
55711.614606 2.153000 0.544000 
55712.426988 3.443000 1.029000 
55715.585299 3.319000 0.627000 
55720.692571 2.596000 0.473000 
55721.293744 2.028000 0.670000 
55722.857298 1.479000 0.384000 
55724.744902 2.374000 0.392000 
55725.070227 1.963000 0.615000 
55729.362524 1.419000 0.302000 
55731.547522 2.085000 0.682000 
55732.225210 1.958000 0.473000 
55739.733116 2.219000 0.434000 
55768.536155 5.438000 1.618000 
