#MJD RXTE/ASMcpuntrate(1.5-12keV) +-
53816.463199 0.934000 0.198000 
53817.473888 0.951000 0.209000 
53818.551481 1.160000 0.192000 
53819.562043 0.879000 0.189000 
53820.561369 1.070000 0.270000 
53821.424457 1.416000 0.254000 
53823.392348 0.967000 0.216000 
53840.920101 1.278000 0.421000 
53841.495641 1.466000 0.318000 
53842.637224 1.088000 0.233000 
53844.430399 0.724000 0.188000 
53845.574272 1.080000 0.196000 
53846.372087 0.919000 0.201000 
53847.405808 1.099000 0.206000 
53848.480296 1.137000 0.186000 
53849.428199 1.321000 0.197000 
53850.414264 1.048000 0.256000 
53851.435488 0.963000 0.209000 
53852.370108 1.300000 0.164000 
53853.473376 1.458000 0.256000 
53854.554119 0.927000 0.208000 
53855.289489 1.441000 0.231000 
53856.397597 0.938000 0.260000 
53857.483421 0.956000 0.212000 
53859.444385 0.767000 0.244000 
53862.524667 0.812000 0.257000 
53863.532521 0.905000 0.282000 
53864.502109 0.988000 0.259000 
53866.424136 0.843000 0.222000 
53867.474611 1.119000 0.225000 
53869.688026 1.116000 0.291000 
53870.431302 1.302000 0.297000 
53871.485738 1.252000 0.238000 
53872.518419 1.307000 0.328000 
53873.458802 1.153000 0.329000 
53874.646897 1.397000 0.381000 
53888.743090 2.678000 0.596000 
53889.702473 2.367000 0.422000 
53892.562121 1.913000 0.546000 
53893.645519 1.330000 0.335000 
53895.414308 1.404000 0.393000 
53900.602966 1.226000 0.210000 
53901.621499 0.995000 0.283000 
53902.439614 1.780000 0.287000 
53903.610653 1.088000 0.285000 
53905.463212 1.061000 0.274000 
53907.780693 1.020000 0.170000 
53908.317364 1.163000 0.210000 
53909.503203 1.481000 0.295000 
53910.486009 1.421000 0.268000 
53911.488826 1.044000 0.323000 
53912.512869 1.202000 0.234000 
53913.409160 1.420000 0.323000 
53915.557634 1.626000 0.167000 
53916.463314 1.829000 0.213000 
53917.544215 1.070000 0.274000 
53918.427495 1.462000 0.268000 
53919.483879 1.411000 0.295000 
53920.586531 1.356000 0.263000 
53921.472054 1.126000 0.170000 
53922.541808 1.697000 0.172000 
53923.554009 1.128000 0.252000 
53924.648396 1.239000 0.217000 
53925.684271 1.110000 0.251000 
53926.496330 1.747000 0.296000 
53927.606219 1.814000 0.257000 
53928.672443 1.595000 0.327000 
53929.677771 1.145000 0.281000 
53931.559265 1.058000 0.344000 
53932.462006 1.560000 0.351000 
53933.292039 1.681000 0.494000 
53934.506686 1.376000 0.342000 
53944.633619 1.130000 0.284000 
53945.485869 0.853000 0.263000 
53946.511547 1.520000 0.224000 
53947.419445 1.131000 0.275000 
53948.621584 0.826000 0.254000 
53949.586385 0.976000 0.243000 
53950.392238 1.177000 0.300000 
53951.582603 1.173000 0.349000 
53953.643725 1.021000 0.229000 
53954.439743 1.088000 0.268000 
53955.858694 2.228000 0.311000 
53956.561008 0.949000 0.158000 
53957.392390 1.266000 0.194000 
53958.608159 1.024000 0.215000 
53959.550866 1.096000 0.217000 
53960.558889 1.459000 0.271000 
53961.892625 1.184000 0.363000 
53962.666594 1.684000 0.317000 
53963.409345 1.400000 0.261000 
53964.576899 1.444000 0.183000 
53965.494930 1.666000 0.271000 
53966.551035 1.399000 0.250000 
53967.629123 2.024000 0.217000 
53968.623559 1.907000 0.317000 
53969.659859 1.806000 0.282000 
53970.539962 1.050000 0.189000 
53971.669801 1.219000 0.192000 
53972.639010 1.843000 0.255000 
53973.563011 1.706000 0.275000 
53974.604995 1.555000 0.246000 
53975.673599 1.314000 0.318000 
53976.547777 1.404000 0.250000 
53977.492221 1.756000 0.230000 
53978.450588 1.142000 0.358000 
53979.500411 1.511000 0.289000 
53980.290346 1.112000 0.339000 
53981.317572 1.578000 0.300000 
53982.315324 1.691000 0.354000 
53986.245473 1.437000 0.358000 
53990.380135 1.493000 0.333000 
53993.443138 1.713000 0.254000 
53994.553268 1.365000 0.183000 
53995.599948 1.497000 0.244000 
53996.562377 1.543000 0.183000 
53997.567613 1.644000 0.190000 
53998.729950 1.112000 0.332000 
53999.471555 1.810000 0.279000 
54000.554704 1.022000 0.271000 
54001.510023 1.534000 0.230000 
54002.735187 0.941000 0.253000 
54004.627479 1.315000 0.189000 
54005.608457 1.240000 0.166000 
54006.676430 1.447000 0.195000 
54007.773652 1.143000 0.194000 
54008.708126 1.185000 0.178000 
54009.657315 1.174000 0.210000 
54010.671347 1.285000 0.185000 
54011.704710 0.845000 0.270000 
54012.560392 1.255000 0.267000 
54013.615667 1.216000 0.250000 
54014.630157 1.228000 0.194000 
54015.658391 1.653000 0.228000 
54016.647171 1.933000 0.201000 
54017.566646 1.450000 0.184000 
54018.683187 1.686000 0.177000 
54019.592758 1.482000 0.228000 
54020.597541 1.309000 0.227000 
54021.628075 1.436000 0.194000 
54022.488851 1.790000 0.267000 
54023.529463 1.447000 0.193000 
54024.453114 1.335000 0.288000 
54025.425160 1.016000 0.304000 
54026.410960 1.252000 0.365000 
54027.353890 1.351000 0.291000 
54028.259860 1.263000 0.359000 
54039.238009 2.377000 0.469000 
54042.216615 2.256000 0.594000 
54043.673940 1.792000 0.538000 
54044.392611 1.382000 0.232000 
54045.442083 1.579000 0.243000 
54046.349691 0.995000 0.272000 
54048.334349 1.455000 0.249000 
54049.349905 2.032000 0.262000 
54050.360158 2.167000 0.311000 
54051.663123 1.510000 0.224000 
54052.744241 2.103000 0.298000 
54053.543577 1.807000 0.242000 
54054.649590 1.327000 0.253000 
54055.717813 1.239000 0.364000 
54056.452345 1.509000 0.297000 
54057.588790 1.527000 0.226000 
54058.637803 1.792000 0.282000 
54059.759537 1.347000 0.299000 
54060.656019 1.774000 0.339000 
54061.712803 1.904000 0.408000 
54062.686277 1.258000 0.304000 
54063.545328 1.594000 0.387000 
54064.606748 1.014000 0.293000 
54067.495837 1.976000 0.446000 
54100.561429 3.279000 0.942000 
54102.585475 3.980000 0.629000 
54104.461800 2.383000 0.344000 
54108.735353 2.169000 0.385000 
54111.614022 2.239000 0.738000 
54112.438839 1.662000 0.534000 
54114.380239 2.891000 0.626000 
54118.448673 1.657000 0.487000 
54119.526331 2.167000 0.332000 
54120.480368 1.599000 0.241000 
54121.393034 1.286000 0.290000 
54122.508068 1.441000 0.220000 
54125.235689 1.938000 0.384000 
54126.460050 1.430000 0.373000 
54128.521002 2.149000 0.440000 
54129.065380 2.272000 0.557000 
54130.658790 1.758000 0.458000 
54131.417435 1.189000 0.339000 
54132.511964 0.854000 0.248000 
54133.490345 1.569000 0.378000 
54134.522347 1.703000 0.252000 
54135.662155 1.896000 0.341000 
54136.458281 1.312000 0.343000 
54137.590689 2.011000 0.561000 
54138.375858 1.323000 0.323000 
