targets,log(Lx_bol),log(L_opt)
NGC4151,43.65554616,42.08670771
NGC4151,43.57552416,42.14004373
NGC4151,43.59816566,42.14129799
NGC4151,43.64387636,42.12748964
NGC4151,43.625797,42.11281192
NGC4151,43.55820691,42.10455617
NGC4151,43.55389411,42.12479917
NGC4151,43.56413377,42.13556297
NGC4151,43.61410098,42.13982462
NGC4151,43.70867251,42.12315155
NGC4151,43.70053138,42.11270317
NGC4151,43.778853,42.11176525
NGC4151,43.74923149,42.1111018
NGC4151,43.81895176,42.13405029
NGC4151,43.77658148,42.12132768
NGC4151,43.71802116,42.11983322
NGC4151,43.69923631,42.11732807
NGC4151,43.66461471,42.11104098
NGC4151,43.52416932,42.13139193
NGC4151,43.71650256,42.14783679
NGC4151,43.6536452,42.12626629
NGC4151,43.62580489,42.11463586
NGC4151,43.6484088,42.12247896
NGC4151,43.63405198,42.12690522
NGC4151,43.59060464,42.11004401
NGC4151,43.65254848,42.12557783
NGC4151,43.62780158,42.1247129
NGC4151,43.66931187,42.13328688
NGC4151,43.6380659,42.11835182
NGC4151,43.63080861,42.14130868
NGC4151,43.62798107,42.10214759
NGC4151,43.61847118,42.11546988
NGC4151,43.55939595,42.13066269
NGC4151,43.65285096,42.1014362
NGC4151,43.66918437,42.10954411
NGC4151,43.66266666,42.0889254
NGC4151,43.65207555,42.11997383
NGC4151,43.68202264,42.11011546
NGC4151,43.71618326,42.12050929
NGC4151,43.65925418,42.14013512
NGC4151,43.73672942,42.10580271
NGC4151,43.67842513,42.0838191
NGC4151,43.55623704,42.11086863
NGC4151,43.70113304,42.12598959
NGC4151,43.73199902,42.11241035
NGC4151,43.77871214,42.09555033
NGC4151,43.76138487,42.1310588
NGC4151,43.79700165,42.12048726
NGC4151,43.79346225,42.10013391
NGC4151,43.85009019,42.10818551
NGC4151,43.83141395,42.15347144
NGC4151,43.77411045,42.12385302
NGC4151,43.75936757,42.14859661
NGC4151,43.78660667,42.12600339
NGC4151,43.89693596,42.12013907
NGC4151,43.9620699,42.12415048
NGC4151,43.94088875,42.12241406
NGC4151,44.08205296,42.14306089
NGC4151,43.89552006,42.12001334
NGC4151,44.05443114,42.15814732
NGC4151,43.99031351,42.1574404
NGC4151,44.00864325,42.13474335
NGC4151,44.00219287,42.15477824
NGC4151,44.02139887,42.11441526
NGC4151,43.93216674,42.1304093
NGC4151,43.96838926,42.14244098
NGC4151,43.94450568,42.15319894
NGC4151,43.92536166,42.16927846
NGC4151,43.98901198,42.15733069
NGC4151,43.91496565,42.15257914
NGC4151,43.96710555,42.15494268
NGC4151,43.91376594,42.17388791
NGC4151,43.96355342,42.13521195
NGC4151,44.00093228,42.17236033
NGC4151,43.91724525,42.16135782
NGC4151,43.91698579,42.14793402
NGC4151,43.88323416,42.16387125
NGC4151,43.8750858,42.18331231
NGC4151,43.91029897,42.1687234
NGC4151,44.04756564,42.18457573
NGC4151,44.00023478,42.17529518
NGC4151,43.99723415,42.17010901
NGC4151,44.00174948,42.16438202
NGC4151,43.90360133,42.16155491
NGC4151,43.88913762,42.15624698
NGC4151,43.89083931,42.16530164
NGC4151,43.94145728,42.16273403
NGC4151,43.85178728,42.18761382
NGC4151,43.86887178,42.15515509
NGC4151,43.82062334,42.15675403
NGC4151,43.84666428,42.17493013
NGC4151,43.81633276,42.18067903
NGC4151,43.80246402,42.17609174
NGC4151,43.86918234,42.18335424
NGC4151,43.7013854,42.1690074
NGC4151,43.61622304,42.16648697
NGC4151,43.508649,42.17274965
NGC4151,43.67881485,42.14413143
NGC4151,43.66856629,42.20495576
NGC4151,43.68544669,42.14843559
NGC4151,43.58796738,42.16517618
NGC4151,43.71166575,42.14945204
NGC4151,43.70114542,42.14071415
NGC4151,43.73688742,42.18236873
NGC4151,43.63923851,42.17314847
NGC4151,43.63517732,42.17669921
NGC4151,43.72241024,42.16024898
NGC4151,43.79414297,42.16613676
NGC4151,43.76245259,42.16726731
NGC4151,43.71294025,42.13216763
NGC4151,43.79331569,42.14904297
NGC4151,43.80398425,42.16446843
NGC4151,43.81567681,42.15501222
NGC4151,43.79843898,42.15856804
NGC4151,43.84085983,42.15093125
NGC4151,43.8607628,42.16016544
NGC4151,43.82415851,42.15944069
NGC4151,43.8455856,42.1602336
NGC4151,43.80389144,42.17399751
NGC4151,43.7598328,42.16953459
NGC4151,43.73566955,42.17179493
NGC4151,43.69250763,42.18079041
NGC4151,43.64390461,42.15329303
NGC4151,43.85317104,42.17259678
NGC4151,43.73676852,42.18163237
NGC4151,43.79354838,42.17637274
NGC4151,43.77586484,42.17029893
NGC4151,43.7462337,42.17238219
NGC4151,43.71052466,42.17823699
NGC4151,43.79284383,42.15496476
NGC4151,43.71721588,42.15397851
NGC4151,43.69856531,42.18257436
NGC4151,43.68929941,42.15375009
NGC4151,43.61592621,42.17087894
NGC4151,43.6707921,42.13775342
NGC4151,43.67214208,42.16882673
NGC4151,43.59631079,42.1666101
NGC4151,43.49884088,42.17332282
NGC4151,43.58765173,42.17019059
NGC4151,43.58568095,42.16847101
NGC4151,43.6292944,42.13917766
NGC4151,43.64666525,42.14662175
NGC4151,43.64080893,42.14808434
NGC4151,43.67032251,42.15251525
NGC4151,43.67539982,42.15641232
NGC4151,43.63720575,42.11688307
NGC4151,43.61322013,42.14470389
NGC4151,43.53413543,42.18124896
NGC4151,43.60409801,42.16558971
NGC4151,43.56984687,42.16989687
NGC4151,43.54623373,42.14292287
NGC4151,43.66594757,42.15441492
NGC4151,43.69533539,42.14977414
NGC4151,43.7077243,42.13474236
NGC4151,43.77053582,42.14580987
NGC4151,43.76309511,42.16110109
NGC4151,43.76808235,42.13480561
NGC4151,43.7403446,42.15548449
NGC4151,43.70097916,42.16530613
NGC4151,43.6753501,42.14304269
NGC4151,43.65683073,42.14759875
NGC4151,43.67725434,42.17830909
NGC4151,43.69280787,42.15252699
NGC4151,43.76811305,42.11448263
NGC4151,43.68655312,42.13938851
NGC4151,43.61405182,42.15973575
NGC4151,43.76796752,42.1569349
NGC4151,43.78158351,42.16226308
NGC4151,43.87604408,42.14747591
NGC4151,43.8256705,42.15229357
NGC4151,43.72442781,42.13934203
NGC4151,43.76350735,42.15514822
NGC4151,43.85061882,42.12518322
NGC4151,43.82289848,42.13528117
NGC4151,43.84324492,42.16262171
NGC4151,43.82233667,42.16023333
NGC4151,43.78856955,42.1595391
NGC4151,43.85540133,42.13067699
NGC4151,43.83713932,42.15480741
NGC4151,43.8502257,42.13023586
NGC4151,43.83816371,42.15025983
NGC4151,43.85956854,42.13918051
NGC4151,43.84035544,42.14668687
NGC4151,43.83798309,42.13743517
NGC4151,43.88323997,42.14155993
NGC4151,43.85522092,42.14795715
NGC4151,43.74800097,42.14370668
NGC4151,43.73436267,42.14537971
NGC4151,43.69680245,42.13018956
NGC4151,43.76027516,42.16026383
NGC4151,43.73183016,42.14184993
NGC4151,43.6660142,42.14518357
NGC4151,43.83565966,42.12341047
NGC4151,43.83861202,42.14857434
NGC4151,43.69784651,42.14731762
NGC4151,43.82259878,42.12563057
NGC4151,43.88079026,42.13639612
NGC4151,43.72339794,42.15343972
NGC4151,43.6963776,42.14714433
NGC4151,43.61225991,42.14969055
NGC4151,43.73737288,42.13480802
NGC4151,43.7511998,42.13110743
NGC4151,43.71579705,42.1678472
NGC4151,43.64879348,42.1291369
NGC4151,43.66845143,42.15363492
NGC4151,43.76024777,42.1621302
NGC4151,43.68205405,42.10063316
NGC4151,43.68245253,42.13652972
NGC4151,43.68388228,42.13970397
NGC4151,43.71430067,42.1396498
NGC4151,43.67184755,42.1182293
NGC4151,43.76740961,42.14356007
NGC4151,43.75447575,42.11509042
NGC4151,43.74076287,42.13914013
NGC4151,43.87424086,42.1374625
NGC4151,43.84268203,42.15020305
NGC4151,43.84064378,42.14652611
NGC4151,43.81074989,42.10712606
NGC4151,43.77491878,42.1359798
NGC4151,43.69554726,42.13215355
NGC4151,43.70696512,42.1414138
NGC4151,43.55313953,42.13270305
NGC4151,43.55410317,42.1358122
NGC4151,43.70015403,42.13251204
NGC4151,43.59348833,42.1443313
NGC4151,43.67453586,42.12879642
NGC4151,43.54736652,42.12515354
NGC4151,43.68008912,42.13927629
NGC4151,43.68235421,42.12719858
NGC4151,43.65977333,42.11462446
NGC4151,43.69434141,42.11836726
NGC4151,43.68210948,42.1420932
NGC4151,43.72935696,42.14652962
NGC4151,43.58124591,42.11728035
NGC4151,43.72115947,42.13972035
NGC4151,43.71515588,42.13001171
NGC4151,43.63306181,42.14382772
NGC4151,43.76249712,42.1428546
NGC4151,43.72077006,42.15709923
NGC4151,43.66384897,42.14218739
NGC4151,43.6775205,42.11989431
NGC4151,43.63871615,42.14825391
NGC4151,43.55121955,42.12444581
NGC4151,43.46157804,42.16267151
NGC4151,43.50353961,42.15296231
NGC4151,43.47251616,42.12505233
NGC4151,43.54631646,42.13200107
NGC4151,43.5036058,42.13119283
NGC4151,43.50602215,42.12458815
NGC4151,43.58116491,42.119178
NGC4151,43.52125249,42.12809535
NGC4151,43.4320313,42.11217144
NGC4151,43.42021221,42.13029848
NGC4151,43.49252768,42.12859259
NGC4151,43.48039076,42.11541179
NGC4151,43.44101865,42.14599331
NGC4151,43.42874021,42.11392154
NGC4151,43.4334764,42.12064992
NGC4151,43.42111117,42.09865653
NGC4151,43.47995104,42.10555168
NGC4151,43.57400368,42.1119582
NGC4151,43.44925013,42.10155489
NGC4151,43.45592343,42.0877505
NGC4151,43.48307747,42.12449835
NGC4151,43.50678221,42.1227111
NGC4151,43.42665588,42.08142562
