Source,d(kpc),d_err,Av,Av_err,M_BH,M_BH_err,Optical,Outburst,V_mag,Reddened flux (mJy),De-reddened flux (mJy),X-ray MJD,F_X_unabs,log(Lx_bol),log(Lx/L_Edd),log(L_opt),log(Lopt/L_Edd),optical lag,lag_err
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53818.3218,2006hard,16.37,1.02949413,20.5411084,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53819.23892,2006hard,16.3,1.098054446,21.90906655,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53820.30027,2006hard,16.36,1.039019922,20.73117294,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53821.32369,2006hard,16.31,1.087987422,21.70820302,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53822.29826,2006hard,16.33,1.068129413,21.31198366,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53823.31865,2006hard,16.26,1.139262689,22.73127911,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53824.32971,2006hard,16.47,0.938909805,18.73371352,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53826.28222,2006hard,16.22,1.182017413,23.584348,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53827.35266,2006hard,16.31,1.087987422,21.70820302,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53828.30689,2006hard,16.43,0.974145603,19.43676011,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53829.27271,2006hard,16.46,0.947597431,18.90705443,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53831.19111,2006hard,16.32,1.078012693,21.50918102,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53832.27987,2006hard,16.2,1.203992758,24.02281377,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53833.29154,2006hard,16.3,1.098054446,21.90906655,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53834.28252,2006hard,16.28,1.118468802,22.31638651,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53835.25177,2006hard,16.34,1.058336744,21.11659422,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53836.19285,2006hard,16.38,1.020055671,20.35278639,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53837.25092,2006hard,16.43,0.974145603,19.43676011,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53839.24994,2006hard,16.39,1.010703744,20.16619092,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53841.27951,2006hard,16.45,0.956365442,19.08199925,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53844.3551,2006hard,16.33,1.068129413,21.31198366,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53845.28854,2006hard,16.37,1.02949413,20.5411084,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53846.25368,2006hard,16.4,1.001437557,19.98130617,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53847.24959,2006hard,16.43,0.974145603,19.43676011,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53848.25105,2006hard,16.34,1.058336744,21.11659422,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53849.22357,2006hard,16.59,0.840666758,16.77350701,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53851.24208,2006hard,16.48,0.930301829,18.5619618,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53852.29487,2006hard,16.42,0.983159261,19.61660623,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53853.30892,2006hard,16.45,0.956365442,19.08199925,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53854.32056,2006hard,16.55,0.872215649,17.40299016,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53855.31466,2006hard,16.51,0.904948521,18.05609681,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53856.30684,2006hard,16.51,0.904948521,18.05609681,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53858.27983,2006hard,16.74,0.732190137,14.60911388,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53860.17291,2006hard,16.65,0.795470127,15.87171566,53860.99,2.09E-09,37.44007358,-1.431148973,35.52698459,-3.344237962,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53862.25776,2006hard,16.66,0.788177213,15.7262029,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53863.17171,2006hard,16.7,0.759668073,15.15737078,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53866.20759,2006hard,16.72,0.745802568,14.88071759,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53867.19719,2006hard,16.86,0.655577251,13.08048583,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53868.17256,2006hard,16.91,0.626071414,12.49176699,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53869.12377,2006hard,16.72,0.745802568,14.88071759,53869.62,1.18E-09,37.19173033,-1.679492231,35.49898459,-3.372237962,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53871.25111,2006hard,16.88,0.643611617,12.84174005,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53872.2175,2006hard,16.93,0.614644323,12.26376654,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53873.26196,2006hard,16.85,0.661643232,13.20151807,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53874.18043,2006hard,17.12,0.515969315,10.2949413,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53875.06568,2006hard,16.98,0.586980771,11.71180613,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53876.19455,2006hard,17.02,0.565749104,11.28817866,53876.25,5.48E-10,36.85876388,-2.01245868,35.37898459,-3.492237962,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53877.22498,2006hard,17.02,0.565749104,11.28817866,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53881.25473,2006hard,17.32,0.429164583,8.562959196,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53882.21915,2006hard,17.31,0.433135594,8.642191282,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53886.14795,2006hard,17.38,0.406091477,8.102590203,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53890.09629,2006hard,17.56,0.344051832,6.864736545,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53891.14164,2006hard,17.62,0.325554629,6.495668822,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53893.02864,2006hard,17.97,0.23584348,4.70569608,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53896.09607,2006hard,17.77,0.283546228,5.657491037,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53900.16715,2006hard,18.28,0.177265359,3.536908906,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53901.07466,2006hard,18.22,0.187337135,3.73786726,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53902.082,2006hard,18.54,0.139515955,2.783709263,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53903.10672,2006hard,18.37,0.163163824,3.255546288,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53904.26266,2006hard,18.41,0.157262029,3.13779,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53905.20794,2006hard,18.55,0.138236865,2.758188063,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53906.20108,2006hard,18.73,0.117118061,2.33681254,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53907.16534,2006hard,18.33,0.169287104,3.377721782,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53908.1005,2006hard,18.56,0.136969501,2.732900843,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53909.17272,2006hard,18.75,0.114980416,2.294160905,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53911.15458,2006hard,18.87,0.102949413,2.05411084,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53912.26481,2006hard,18.88,0.102005567,2.035278639,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53914.21202,2006hard,19.06,0.086421913,1.724343858,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53915.24814,2006hard,19.37,0.064956688,1.296056321,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53916.20543,2006hard,19.26,0.071882616,1.43424675,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53918.20827,2006hard,19.36,0.065557725,1.308048583,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53920.10617,2006hard,19.55,0.055033087,1.098054446,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53921.18237,2006hard,19.35,0.066164323,1.320151807,,,,,,,10,5
