#MJD	log(Lx_bol)	log(Lx/L_Edd)	log(L_opt)	log(Lopt/L_Edd)
				
53422.71	36.24477382	-2.587990481	34.53490595	-4.297858352
53435.56	37.07950246	-1.753261845	34.49090595	-4.341858352
53438.64	37.2831602	-1.549604109	34.86690595	-3.965858352
53439.565	37.32638156	-1.50638275	34.91890595	-3.913858352
53592.43	37.44341097	-1.389353332	34.66290595	-4.169858352
