55290.573489 16.557267  0.016186 
55296.567583 16.502267  0.023854 
55298.454448 16.533600  0.011045 
55304.462523 16.491267  0.011619 
55307.739678 16.662600  0.012083 
55307.748154 16.668933  0.015166 
55308.603110 16.531267  0.009644 
55308.690070 16.695267  0.010100 
55308.697325 16.671933  0.009055 
55308.705253 16.665933  0.009055 
55308.712517 16.633933  0.009055 
55308.721114 16.580267  0.009055 
55308.729101 16.550600  0.009055 
55310.428155 16.687600  0.014071 
55313.576543 16.698600  0.020347 
55313.584129 16.676600  0.021932 
55313.694341 16.699267  0.015166 
55317.468530 16.626933  0.012083 
55319.389656 16.579267  0.011619 
55323.379296 16.551267  0.011619 
55325.457965 16.590600  0.009055 
55329.373452 16.586600  0.009055 
55329.640935 16.684600  0.011619 
55331.550866 16.555267  0.009055 
55338.348608 16.571933  0.018166 
55341.351172 16.525600  0.021886 
55344.319344 16.563600  0.024372 
55346.321369 16.684600  0.017146 
55352.361404 16.652933  0.008544 
55356.545261 16.642933  0.012083 
55356.553219 16.624933  0.011045 
55356.561268 16.618267  0.011619 
55359.337346 16.594267  0.011619 
55362.461972 16.621933  0.010100 
55362.469239 16.625933  0.011045 
55362.476551 16.613933  0.010100 
55362.542971 16.617267  0.010536 
55365.427134 16.639267  0.035000 
55365.435679 16.693267  0.036277 
55365.443723 16.723267  0.026153 
55365.459709 16.740267  0.020616 
55365.462915 16.721600  0.008124 
55365.467050 16.729933  0.018628 
55365.475639 16.695933  0.022181 
55365.483535 16.693267  0.015588 
55365.490845 16.683267  0.012083 
55365.498915 16.630933  0.016643 
55367.339881 16.638600  0.010536 
55370.321191 16.598600  0.014663 
55373.304495 16.551933  0.019287 
55377.303973 16.584267  0.008544 
55379.372228 16.539600  0.009055 
55388.312086 16.559267  0.008544 
55391.316981 16.586600  0.008124 
55394.433739 16.581600  0.009644 
55394.458766 16.590933  0.009644 
55394.472049 16.572267  0.009644 
55394.479990 16.575267  0.009644 
55395.419192 16.561600  0.014071 
55395.499925 16.631933  0.011619 
55403.341400 16.686600  0.012689 
55409.457628 16.560267  0.009644 
55412.457286 16.582600  0.010100 
55439.375103 16.534600  0.011619 
55454.336549 16.519267  0.009644 
55698.478795 16.566267  0.025826 
55701.364651 16.662267  0.021703 
55705.490973 16.707267  0.014071 
55706.649797 16.585933  0.020149 
55707.398627 16.662933  0.016062 
55709.504149 16.633267  0.017578 
55710.439467 16.562933  0.013601 
55714.527665 16.631600  0.015166 
55716.627220 16.673933  0.024597 
55719.475230 16.618600  0.014071 
55722.445475 16.662267  0.015166 
55722.491517 16.612267  0.033317 
55726.284333 16.603933  0.027641 
